empresa,Fact2016,Rkg_500_2016,Fact2017,Rkg_500_2017
Apple,233715000000,3,215639000000,3
Amazon.com,107006000000,18,135987000000,12
Costco Wholesale,116199000000,15,118719000000,16
Alphabet,74989000000,36,90272000000,27
Microsoft,93580000000,25,85320000000,28
Citigroup,88275000000,29,82386000000,30
Intel,55355000000,51,59387000000,47
Cisco Systems,49161000000,54,49247000000,60
HP,103355000000,20,48238000000,61
Merck,39498000000,72,39807000000,69
Facebook,17928000000,157,27638000000,98
Qualcomm,25281000000,110,23554000000,119
eBay,9496000000,300,8979000000,310
Jones Lang LaSalle,5966000000,436,6804000000,391
Adobe Systems,4796000000,524,5854000000,443
Yahoo,4968000000,513,5169000000,498
